Name,Label,Function,Type,Regex
TSVR,Time Since VR (hours),sum,vr,.*-TSVR
TQ_RFR-N-OBJ1,TQ_RFR-N-OBJ1,sum,vr,RFR-N-OBJ1-ANS
TQ_RFR-N-OBJ2,TQ_RFR-N-OBJ2,sum,vr,RFR-N-OBJ2-ANS
TQ_RFR-N-OBJ3,TQ_RFR-N-OBJ3,sum,vr,RFR-N-OBJ3-ANS
TQ_RFR-N-OBJ4,TQ_RFR-N-OBJ4,sum,vr,RFR-N-OBJ4-ANS
TQ_RFR-N-STRA,TQ_RFR-N-STRA,sum,vr,RFR-N-STRA-ANS
TQ_RFR-N-PORT,TQ_RFR-N-PORT,sum,vr,RFR-N-PORT-ANS
TQ_RFR-N-LAND,TQ_RFR-N-LAND,sum,vr,RFR-N-LAND-ANS
TQ_IFR-N-i1,TQ_IFR-N-i1,sum,vr,IFR-N-i1.*ANS
TQ_IFR-N-i2,TQ_IFR-N-i2,sum,vr,IFR-N-i2.*ANS
TQ_IFR-N-i3,TQ_IFR-N-i3,sum,vr,IFR-N-i3.*ANS
TQ_IFR-N-i4,TQ_IFR-N-i4,sum,vr,IFR-N-i4.*ANS
TQ_IFR-N-i5,TQ_IFR-N-i5,sum,vr,IFR-N-i5.*ANS
TQ_IFR-N-i6,TQ_IFR-N-i6,sum,vr,IFR-N-i6.*ANS
TQ_RFR-O-RORD,TQ_RFR-O-RORD,sum,vr,RFR-O-RORD-ANS
TQ_RFR-O-TMOD,TQ_RFR-O-TMOD,sum,vr,RFR-O-TMOD-ANS
TQ_RFR-N-WEAT,TQ_RFR-N-WEAT,sum,vr,RFR-N-WEAT-ANS
TQ_RFR-L-OBJ1,TQ_RFR-L-OBJ1,sum,vr,RFR-L-OBJ1-ANS
TQ_RFR-L-OBJ2,TQ_RFR-L-OBJ2,sum,vr,RFR-L-OBJ2-ANS
TQ_RFR-L-OBJ3,TQ_RFR-L-OBJ3,sum,vr,RFR-L-OBJ3-ANS
TQ_RFR-L-OBJ4,TQ_RFR-L-OBJ4,sum,vr,RFR-L-OBJ4-ANS
TQ_RFR-L-DOOR,TQ_RFR-L-DOOR,sum,vr,RFR-L-DOOR-ANS
TQ_RFR-L-WIND,TQ_RFR-L-WIND,sum,vr,RFR-L-WIND-ANS
TQ_RFR-L-PORT,TQ_RFR-L-PORT,sum,vr,RFR-L-PORT-ANS
TQ_RFR-L-LAND,TQ_RFR-L-LAND,sum,vr,RFR-L-LAND-ANS
TQ_RFR-L-STRA,TQ_RFR-L-STRA,sum,vr,RFR-L-STRA-ANS
TQ_IFR-U-i1,TQ_IFR-U-i1,sum,vr,IFR-U-i1.*ANS
TQ_IFR-U-i2,TQ_IFR-U-i2,sum,vr,IFR-U-i2.*ANS
TQ_IFR-U-i3,TQ_IFR-U-i3,sum,vr,IFR-U-i3.*ANS
TQ_IFR-U-i4,TQ_IFR-U-i4,sum,vr,IFR-U-i4.*ANS
TQ_IFR-U-i5,TQ_IFR-U-i5,sum,vr,IFR-U-i5.*ANS
TQ_IFR-U-i6,TQ_IFR-U-i6,sum,vr,IFR-U-i6.*ANS
TQ_IFR-D-i1,TQ_IFR-D-i1,sum,vr,IFR-D-i1.*ANS
TQ_IFR-D-i2,TQ_IFR-D-i2,sum,vr,IFR-D-i2.*ANS
